7062,1B96,D,SCC Shrf c2c,St Clair County Sheriff CartoCar,Law Tac,St Clair County  Law Enforcement,3
7063,1B97,E,SCC SD Inv 1,St Clair County Sheriff Investigations Encrypted,Law Tac,St Clair County  Law Enforcement,3
7064,1B98,E,SCC SD Inv 2,St Clair County Sheriff Investigations Encrypted,Law Tac,St Clair County  Law Enforcement,3
7065,1B99,D,SCC MetroLnk,St Clair County Sheriff MetroLink Units METRO,Law Tac,St Clair County  Law Enforcement,3
7066,1B9A,D,MAA Security,St Clair County Sheriff MidAmerica Airport  Security ,Security,St Clair County  Law Enforcement,3
7067,1B9B,D,SCC SpecDet1,St Clair County Sheriff Special Detail 1 ,Law Tac,St Clair County  Law Enforcement,3
7068,1B9C,D,SCC SpecDet2,St Clair County Sheriff Special Detail 2,Law Tac,St Clair County  Law Enforcement,3
7069,1B9D,D,SCC SpecDet3,St Clair County Sheriff Special Detail 3  Jail Operations,Corrections,St Clair County  Law Enforcement,3
7070,1B9E,D,SCC Shrf Spv,St Clair County Sheriff Supervisor,Law Tac,St Clair County  Law Enforcement,3
7071,1B9F,D,SCC Shrf Adm,St Clair County Sheriff Administration,Law Tac,St Clair County  Law Enforcement,3
7076,1BA4,D,StC AnmCntrl,St Clair County Animal Control,Law Tac,St Clair County  Government  Countywide,3
7077,1BA5,D,StC Coroner,St Clair County Coroner,Public Works,St Clair County  Government  Countywide,3
7078,1BA6,D,Millstadt PD,Millstadt Police CartoCar,Law Tac,St Clair County  Law Enforcement,3
7079,1BA7,D,Mlsdt FDEMS,Millstadt FireEMS Dispatch ,Fire Dispatch,St Clair County  FireEMS,3
7080,1BA8,E,StC CW Evt3,St Clair County Countywide Events 3,Interop,St Clair County  Government  Countywide,3
7081,1BA9,D,StC CW Evt2,St Clair County Countywide Events 2,Interop,St Clair County  Government  Countywide,3
7082,1BAA,D,StC CW Evt1,St Clair County Countywide Events 1,Interop,St Clair County  Government  Countywide,3
7083,1BAB,D,SCC Law 7083,St Clair County Law Operations ,Law Tac,St Clair County  Law Enforcement,3
7084,1BAC,D,SCC ShrfProb,St Clair County Sheriff Probation,Law Tac,St Clair County  Law Enforcement,3
7086,1BAE,D,StC CENCOM,St Clair County CENCOM Staff,Emergency Ops,St Clair County  Government  Countywide,3
7087,1BAF,D,StC SCSES,St Clair County Special Emergency Services,Emergency Ops,St Clair County  Government  Countywide,2
7089,1BB1,D,Milstdt Fire,Millstadt Fire Operations,Fire-Tac,St Clair County  FireEMS,3
7091,1BB3,D,SAFB FuelATS,Fueling Operations ATS,Military,Scott Air Force Base Mascoutah,3
7092,1BB4,D,SAFB Ops7092,Base Operations,Military,Scott Air Force Base Mascoutah,3
7093,1BB5,D,SAFB Ops7093,Base Operations ,Military,Scott Air Force Base Mascoutah,3
7094,1BB6,D,SAFB RampOps,Ramp Operations,Military,Scott Air Force Base Mascoutah,3
7095,1BB7,D,SAFB Weather,Weather Alerts  Wind Advisories,Emergency Ops,Scott Air Force Base Mascoutah,3
7096,1BB8,D,SAFB RampNet,Ramp Net Traffic Simulcast of VHF TRS TG560 ,Military,Scott Air Force Base Mascoutah,3
7097,1BB9,D,SAFB FDCrsh,Fire  Crash Simulcast of VHF TRS TG864 ,Fire Dispatch,Scott Air Force Base Mascoutah,3
7098,1BBA,D,SAFB Events1,Special Events 1  Security  Operations,Multi-Tac,Scott Air Force Base Mascoutah,3
7099,1BBB,D,SAFB AOCEvt,AOC Special Events 2  Security  Operations ,Multi-Tac,Scott Air Force Base Mascoutah,3
7100,1BBC,D,SAFB Maintnc,Maintenance,Military,Scott Air Force Base Mascoutah,3
7101,1BBD,D,Dupo PD c2c,Dupo Police CartoCar formerly Mascoutah PD,Law Tac,St Clair County  Law Enforcement,3
7103,1BBF,D,StookyTSRoad,Stookey Township Road Maintenance,Public Works,St Clair County  Rural MunicipalitiesTownships,3
7104,1BC0,D,Mascoutah PW,Mascoutah Public Works ,Public Works,St Clair County  Rural MunicipalitiesTownships,3
7105,1BC1,D,Lebanon City,Lebanon City Channel,Law Tac,St Clair County  Law Enforcement,3
7106,1BC2,D,StC AgPatch,St Clair County Radio Agile Patch any frequency ,Interop,St Clair County  Government  Countywide,3
7107,1BC3,D,FrmntCty CW,Fairmont City Citywide  Fireground Public WorksPoliceFire,Multi-Tac,St Clair County  Rural MunicipalitiesTownships,3
7108,1BC4,D,CsvTwpFC PW,Caseyville Township  Fairmont City Public Works ,Public Works,St Clair County  Rural MunicipalitiesTownships,3
7110,1BC6,D,Brkln PD c2c,Brooklyn Police CartoCar was Caseyville PoliceFire,Law Tac,St Clair County  Law Enforcement,3
7112,1BC8,D,StC ETSB 1,St Clair County ETSB Channel 1 ,Emergency Ops,St Clair County  Government  Countywide,3
7113,1BC9,E,StC ETSB 2,St Clair County ETSB Channel 2 ,Emergency Ops,St Clair County  Government  Countywide,3
7114,1BCA,D,StC ETSB 3,St Clair County ETSB Channel 3,Emergency Ops,St Clair County  Government  Countywide,3
7115,1BCB,D,Centerville,Centerville  Local ,Multi-Tac,St Clair County  Rural MunicipalitiesTownships,3
7116,1BCC,D,Dupo Citywd2,Dupo  Citywide 2  Fireground,Multi-Tac,St Clair County  Rural MunicipalitiesTownships,3
7117,1BCD,D,Lenzburg PD,Lenzburg Police LocalCartocar,Law Tac,St Clair County  Law Enforcement,3
7118,1BCE,D,SCC Law 7118,St Clair County Law Ops  Sheriff Tac,Law Tac,St Clair County  Law Enforcement,3
7119,1BCF,D,SCC Law 7119,St Clair County Law Ops,Law Tac,St Clair County  Law Enforcement,3
7121,1BD1,D,SCC ESDA7121,St Clair County unid ESDA Ops,Public Works,St Clair County  Rural MunicipalitiesTownships,3
7135,1BDF,D,Smithton PD,Smithton Police CartoCar 2600 units,Law Tac,St Clair County  Law Enforcement,3
7136,1BE0,D,SCC Law 7136,St Clair County Law Ops  CartoCar Smithton heard,Law Tac,St Clair County  Law Enforcement,3
7137,1BE1,D,MascPDmobile,Mascoutah Police CartoCar Ch 2,Law Tac,St Clair County  Law Enforcement,3
7139,1BE3,D,MascCitywide,Mascoutah Citywide  Fireground ,Multi-Tac,St Clair County  Rural MunicipalitiesTownships,3
7141,1BE5,D,Masc FireEMS,Mascoutah FireEMS,Fire-Tac,St Clair County  FireEMS,3
7142,1BE6,E,ISP AV TaskF,ISP Auto Theft Task Force  Adam Victor,Law Tac,St Clair County  Law Enforcement,3
7144,1BE8,D,ShilohPD Old,Shiloh Police Dispatch old Local,Law Tac,St Clair County  Law Enforcement,3
7145,1BE9,D,SCC Ops 7145,St Clair County Operations  Explorers,Public Works,St Clair County  Rural MunicipalitiesTownships,3
7147,1BEB,D,NAthn Police,New Athens Police  CartoCar B,Law Tac,St Clair County  Law Enforcement,3
7148,1BEC,D,Shiloh EMS,Shiloh EMS Ops,EMS-Tac,St Clair County  FireEMS,3
7149,1BED,D,SCC Fire7149,St Clair County unid Fire 27790,Fire-Tac,St Clair County  FireEMS,3
7156,1BF4,D,SmthnFire ,Smithton Fire  Fire units 27764,Fire-Tac,St Clair County  Rural MunicipalitiesTownships,3
7157,1BF5,D,NewAthensTwp,New Athens Township Public Works  Snow Plows,Public Works,St Clair County  Rural MunicipalitiesTownships,3
7158,1BF6,D,Smithton CW,Smithton Citywide WaterVillage Hall,Multi-Tac,St Clair County  Rural MunicipalitiesTownships,3
7159,1BF7,D,Smithton CW,Smithton Citywide,Multi-Tac,St Clair County  FireEMS,3
7160,1BF8,D,AS Railrd PD,Alton and Southern Railroad Police  ANS 1 ,Law Tac,St Clair County  Law Enforcement,3
